nct_id,snapshot_months,start_year,label,duration_days,phase_num,sponsor_num,is_industry,log_planned_enrollment,n_arms,n_countries,is_multinational,n_primary_outcomes,log_n_eligibility_chars,has_drug,has_device,has_biological,n_sites,n_status_changes,had_suspension,n_amendments,enrollment_velocity,enrollment_still_anticipated,status_is_recruiting,status_is_active_not_rec,status_is_suspended,status_is_not_yet_rec,elapsed_days
NCT03563144,6,2018,1,1288.0,2,0,1,0.0,3,1,0,1,8.61104776688786,1,0,1,1,0,0,0,0.0,0,0,0,0,0,182
NCT03563144,12,2018,1,1288.0,2,0,1,0.0,3,1,0,1,8.61104776688786,1,0,1,1,0,0,0,0.0,0,0,0,0,0,364
NCT05297864,3,2022,1,607.0,2,4,0,2.772588722239781,1,1,0,3,8.640648995343156,1,0,0,1,0,0,0,0.16483516483516483,0,0,0,0,0,91
NCT05297864,6,2022,1,607.0,2,4,0,2.772588722239781,1,1,0,3,8.640648995343156,1,0,0,1,0,0,0,0.08241758241758242,0,0,0,0,0,182
NCT05297864,12,2022,1,607.0,2,4,0,2.772588722239781,1,1,0,3,8.640648995343156,1,0,0,1,0,0,0,0.04120879120879121,0,0,0,0,0,364
NCT00691132,3,2009,0,1430.0,2,4,0,4.68213122712422,2,1,0,2,7.760893195851024,1,0,0,1,0,0,0,1.1758241758241759,0,0,0,0,0,91
NCT00691132,6,2009,0,1430.0,2,4,0,4.68213122712422,2,1,0,2,7.760893195851024,1,0,0,1,0,0,0,0.5879120879120879,0,0,0,0,0,182
NCT00691132,12,2009,0,1430.0,2,4,0,4.68213122712422,2,1,0,2,7.760893195851024,1,0,0,1,0,0,0,0.29395604395604397,0,0,0,0,0,364
NCT02244463,3,2015,0,2493.0,1,4,0,3.8501476017100584,6,1,0,3,8.262816937670928,1,0,0,3,0,0,0,0.5054945054945055,0,0,0,0,0,91
NCT02244463,6,2015,0,2493.0,1,4,0,3.8501476017100584,6,1,0,3,8.262816937670928,1,0,0,3,0,0,0,0.25274725274725274,0,0,0,0,0,182
NCT02244463,12,2015,0,2493.0,1,4,0,3.8501476017100584,6,1,0,3,8.262816937670928,1,0,0,3,0,0,0,0.12637362637362637,0,0,0,0,0,364
